HINDUSTAN DRUG AGENCIES,HDA-BENGALURU,SALES,HBCNSP2324000001,21-Aug-2023,DSC0000001,C.B.C.I SOCIETY ST.JOHNS MEDICAL COLLEGE HOSPITAL PHARMA,ST JOHNS MEDICAL COLLEGE HOSPITAL,BENGALURU,KARNATAKA,CBA BANGALORE 1 HQ SP,DARSHAN  KUMAR,,C PAVAN KUMAR,DARSHAN  KUMAR,SLSPE00001,ECLAT INJ 200MG,MW-038,190,34,0,0,-10,-340,0,-10,-340,20,20,0,-381,,,,CNSR
HINDUSTAN DRUG AGENCIES,HDA-BENGALURU,SALES,HBCNSP2324000001,21-Aug-2023,DSC0000001,C.B.C.I SOCIETY ST.JOHNS MEDICAL COLLEGE HOSPITAL PHARMA,ST JOHNS MEDICAL COLLEGE HOSPITAL,BENGALURU,KARNATAKA,CBA BANGALORE 1 HQ SP,DARSHAN  KUMAR,,C PAVAN KUMAR,DARSHAN  KUMAR,SLSPG00009,GUFIROXIME INJ 1500MG,GUFR-02,490,52,0,0,-526,-27352,0,-526,-27352,1641,1641,0,-30634,,,,CNSR
HINDUSTAN DRUG AGENCIES,HDA-BENGALURU,SALES,HBCNSP2324000001,21-Aug-2023,DSC0000001,C.B.C.I SOCIETY ST.JOHNS MEDICAL COLLEGE HOSPITAL PHARMA,ST JOHNS MEDICAL COLLEGE HOSPITAL,BENGALURU,KARNATAKA,CBA BANGALORE 1 HQ SP,DARSHAN  KUMAR,,C PAVAN KUMAR,DARSHAN  KUMAR,SLSPG00009,GUFIROXIME INJ 1500MG,GUFR-03,379,52,0,0,-74,-3848,0,-74,-3848,231,231,0,-4310,,,,CNSR
HINDUSTAN DRUG AGENCIES,HDA-BENGALURU,SALES,HBCNSP2324000001,21-Aug-2023,DSC0000001,C.B.C.I SOCIETY ST.JOHNS MEDICAL COLLEGE HOSPITAL PHARMA,ST JOHNS MEDICAL COLLEGE HOSPITAL,BENGALURU,KARNATAKA,CBA BANGALORE 1 HQ SP,DARSHAN  KUMAR,,C PAVAN KUMAR,DARSHAN  KUMAR,SLSPG00012,GUFICALCIFEROL INJ 6 LAC IU,AMP2324009,42,19,0,0,-15,-285,0,-15,-285,17,17,0,-319,,,,CNSR
HINDUSTAN DRUG AGENCIES,HDA-BENGALURU,SALES,HBTISP2223000001,16-Mar-2023,DW00000045,WINGS ASSOCIATES,SUKSHEMA HOSPITAL PVT LTD,DAVANGERE,KARNATAKA,CBA DAVANGIRI HQ SP,,,C PAVAN KUMAR,,SLSPG00020,GUFIPAN INJ 40MG,GB05M040,50,8.5,1000,8500,0,0,0,1000,8500,510,510,0,9520,,,,SALC
HINDUSTAN DRUG AGENCIES,HDA-BENGALURU,SALES,HBTISP2223000002,20-Mar-2023,DP00000251,PRAGATI NURSING HOME,PRAGATI NURSING HOME,DHARWAD,KARNATAKA,CBA BANGALORE 1 HQ SP,DARSHAN  KUMAR,,C PAVAN KUMAR,,SLSPG00022,GUFICEFTA 1000MG INJ,GB05N002,62,22,30,660,0,0,0,30,660,40,40,0,739,ORDER NO:ORD_164/1,15-Mar-2023 0:0:0,,SALC
HINDUSTAN DRUG AGENCIES,HDA-BENGALURU,SALES,HBTISP2223000002,20-Mar-2023,DP00000251,PRAGATI NURSING HOME,PRAGATI NURSING HOME,DHARWAD,KARNATAKA,CBA BANGALORE 1 HQ SP,DARSHAN  KUMAR,,C PAVAN KUMAR,,SLSPG00023,GUFICEFTA-S 1500MG INJ,GB05N004,299,33,30,990,0,0,0,30,990,59,59,0,1109,ORDER NO:ORD_164/1,15-Mar-2023 0:0:0,,SALC
HINDUSTAN DRUG AGENCIES,HDA-BENGALURU,SALES,HBTISP2223000003,20-Mar-2023,BS00000001,SANJEEVINI MEDICALS,APOORVA MULTI SUPER SPECIALITY HOSPITAL,BELGAUM,KARNATAKA,CBA BELGAUM HQ SP,,,C PAVAN KUMAR,,SLSPG00006,GUFICLO INJ 75MG,AMP23003,26,5,300,1500,0,0,0,300,1500,90,90,0,1680,,,,SALC
HINDUSTAN DRUG AGENCIES,HDA-BENGALURU,SALES,HBTISP2223000003,20-Mar-2023,BS00000001,SANJEEVINI MEDICALS,APOORVA MULTI SUPER SPECIALITY HOSPITAL,BELGAUM,KARNATAKA,CBA BELGAUM HQ SP,,,C PAVAN KUMAR,,SLSPG00018,PIROBAC I.V 100ML,A23A064N,680,28,50,1400,0,0,0,50,1400,84,84,0,1568,,,,SALC
HINDUSTAN DRUG AGENCIES,HDA-BENGALURU,SALES,HBTISP2223000003,20-Mar-2023,BS00000001,SANJEEVINI MEDICALS,APOORVA MULTI SUPER SPECIALITY HOSPITAL,BELGAUM,KARNATAKA,CBA BELGAUM HQ SP,,,C PAVAN KUMAR,,SLSPGU0129,GUFITAZ  INJ 4.5 GM,BL07M46,399,70,50,3500,0,0,0,50,3500,210,210,0,3920,,,,SALC
